2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26	25
27	26
28	27
29	28
30	29
31	30
32	31
33	32
34	33
35	34
36	35
37	36
38	37
39	38
40	39
41	40
42	41
51	42
52	43
53	44
61	45
62	46
63	47
64	48
102	49
103	50
104	51
105	52
106	53
107	54
108	55
109	56
110	57
111	58
112	59
113	60
114	61
115	62
116	63
117	64
118	65
119	66
120	67
121	68
122	69
123	70
124	71
125	72
126	73
127	74
128	75
129	76
130	77
131	78
132	79
133	80
134	81
135	82
136	83
137	84
138	85
139	86
140	87
141	88
142	89
151	90
152	91
153	92
161	93
162	94
163	95
164	96

