0	1
16	2
8	3
10	4
11	5
12	6
13	7
17	8
18	9
26	10
1000	11
1001	12
1002	13
1003	14
1005	15
1006	16
1007	17
1008	18
1009	19
1010	20
1011	21
1012	22
1013	23
1014	24
1015	25
1016	26
1017	27
1018	28
1019	29
1020	30
1021	31
1022	32
1023	33
1024	34
1025	35
1026	36
1027	37
1028	38
1029	39
1030	40
1031	41
1032	42
1033	43
1034	44
1035	45
47	46
49	47
50	48
51	49
52	50
53	51
54	52
58	53
2000	54
2001	55
2002	56
2003	57
2005	58
2006	59
2007	60
2008	61
2009	62
2010	63
2011	64
2012	65
2013	66
2014	67
2015	68
2016	69
2017	70
2018	71
2019	72
2020	73
2021	74
2022	75
2023	76
2024	77
2025	78
2026	79
2027	80
2028	81
2029	82
2030	83
2031	84
2032	85
2033	86
2034	87
2035	88

